"tau","normalized_revenue"
0.798,0.493865060492263
0.8,0.493627090176008
0.802,0.493371348741116
0.804,0.493097578896482
0.806,0.492805516587671
0.808,0.492494890744155
0.81,0.492165423014316
0.812,0.491816827487466
0.814,0.491448810402102
0.816,0.491061069839574
0.818,0.490653295402247
0.82,0.490225167875198
0.822,0.489776358870412
0.824,0.489306530452364
0.826,0.488815334743779
0.828,0.48830241351028
0.83,0.487767397722534
0.832,0.487209907094393
0.834,0.486629549595401
0.836,0.486025920935923
0.838,0.485398604022991
0.84,0.484747168384824
0.842,0.484071169561781
0.844,0.483370148461358
0.846,0.482643630674583
0.848,0.481891125750982
0.85,0.481112126429
0.852,0.480306107818516
0.854,0.479472526531759
0.856,0.478610819758618
0.858,0.477720404281935
0.86,0.476800675427998
0.862,0.475851005946945
0.864,0.474870744817309
0.866,0.473859215968353
0.868,0.47281571691322
0.87,0.471739517285185
0.872,0.470629857268539
0.874,0.469485945914723
0.876,0.468306959333333
0.878,0.467092038746498
0.88,0.465840288393882
0.882,0.464550773274095
0.884,0.463222516706734
0.886,0.4618544976974
0.888,0.460445648085993
0.89,0.458994849456202
0.892,0.457500929781424
0.894,0.455962659779249
0.896,0.454378748943144
0.898,0.45274784121587
0.9,0.451068510264545
0.902,0.449339254311823
0.904,0.447558490471446
0.906,0.445724548529167
0.908,0.44383566410157
0.91,0.441889971095486
0.912,0.439885493379092
0.914,0.437820135562218
0.916,0.435691672767286
0.918,0.433497739253338
0.92,0.431235815732946
0.922,0.428903215194849
0.924,0.42649706701275
0.926,0.42401429908178
0.928,0.421451617676928
0.93,0.418805484670485
0.932,0.416072091675452
0.934,0.413247330595863
0.936,0.410326759958625
0.938,0.407305566269379
0.94,0.40417851946952
0.942,0.400939921363372
0.944,0.397583545620346
0.946,0.394102567619348
0.948,0.390489481967557
0.95,0.386736004960059
0.952,0.382832958504481
0.954,0.378770131050813
0.956,0.374536109748085
0.958,0.370118076262033
0.96,0.365501556233449
0.962,0.3606701089401
0.964,0.355604938896196
0.966,0.350284404185243
0.968,0.344683386170286
0.97,0.338772470069136
0.972,0.332516862740297
0.974,0.325874937790688
0.976,0.318796239746456
0.978,0.311218681910249
0.98,0.303064504816772
0.982,0.294234259778637
0.984,0.284597508159691
0.986,0.2739777694747
0.988,0.262126735212311
0.99,0.248676756719448
0.992,0.233044398308663
0.994,0.214206063170328
0.996,0.190054140624672
0.998,0.154681914957324
1,0
